logid,staffid,areacleaned,cleaningdate,cleaningtime,notes
1,11,"Dry Storage",2025-11-23,00:35:27,"Spot cleaned only"
2,5,"Dish Pit",2025-11-01,14:24:42,"No visible debris"
3,6,"Dish Pit",2026-03-01,18:15:57,"Spot cleaned only"
4,8,"Saute Station",2026-01-29,22:45:15,"Degreased thoroughly"
5,12,"Dish Pit",2026-06-07,08:06:59,"Logged in sanitation binder"
6,17,"Walk-In Fridge",2026-01-29,09:52:27,"Degreased thoroughly"
7,23,"Dish Pit",2025-10-10,06:08:30,"Logged in sanitation binder"
8,28,"Dish Pit",2026-03-16,06:35:46,"Degreased thoroughly"
9,20,"Saute Station",2025-08-17,02:16:37,"Used bleach solution"
10,15,"Grill Station",2026-04-03,22:36:20,"No visible debris"
11,10,Pantry,2026-02-02,03:10:20,"No visible debris"
12,29,"Walk-In Fridge",2026-03-05,09:38:51,"Used bleach solution"
13,13,"Dish Pit",2025-09-13,16:51:05,"No visible debris"
14,3,"Prep Counter",2025-08-27,01:27:13,"Spot cleaned only"
15,18,"Dish Pit",2025-03-10,19:43:17,"Logged in sanitation binder"
16,25,"Saute Station",2025-01-05,09:58:36,"Used bleach solution"
17,26,"Prep Counter",2025-04-05,15:01:20,"Wiped down with sanitizer"
18,12,"Dry Storage",2025-09-08,18:57:31,"Logged in sanitation binder"
19,27,"Grill Station",2024-11-14,09:16:44,"Wiped down with sanitizer"
20,7,"Walk-In Fridge",2025-02-20,19:50:09,"Used bleach solution"
21,1,"Walk-In Fridge",2026-04-12,04:32:08,"Spot cleaned only"
22,17,"Walk-In Fridge",2026-06-21,15:54:57,"Degreased thoroughly"
23,25,"Walk-In Fridge",2025-05-31,06:30:57,"Wiped down with sanitizer"
24,22,"Dish Pit",2025-09-16,10:42:41,"Logged in sanitation binder"
25,7,"Dish Pit",2025-03-01,00:20:04,"No visible debris"
26,7,"Walk-In Fridge",2025-06-06,01:34:53,"Spot cleaned only"
27,28,"Dish Pit",2025-08-02,01:18:56,"Degreased thoroughly"
28,16,"Dish Pit",2025-12-25,02:12:33,"Wiped down with sanitizer"
29,20,"Dish Pit",2026-06-27,18:03:19,"Spot cleaned only"
30,4,"Walk-In Fridge",2025-06-15,07:12:11,"Used bleach solution"
31,26,"Dish Pit",2025-04-18,05:20:47,"No visible debris"
32,3,"Grill Station",2025-11-03,13:08:16,"Logged in sanitation binder"
33,29,Pantry,2025-03-10,23:47:50,"Logged in sanitation binder"
34,6,"Dish Pit",2025-11-26,16:47:46,"Logged in sanitation binder"
35,17,"Walk-In Fridge",2026-03-03,01:48:03,"Degreased thoroughly"
36,26,"Dish Pit",2025-01-25,08:51:19,"Degreased thoroughly"
37,19,"Dish Pit",2026-05-18,03:51:32,"Spot cleaned only"
38,24,"Walk-In Fridge",2025-06-10,02:57:04,"No visible debris"
39,14,"Dish Pit",2026-06-22,13:57:11,"Logged in sanitation binder"
40,13,"Grill Station",2026-03-19,02:29:57,"No visible debris"
41,24,"Dry Storage",2026-03-21,09:05:00,"Spot cleaned only"
42,18,"Grill Station",2025-04-18,09:48:22,"No visible debris"
43,17,"Saute Station",2026-01-01,05:18:16,"Used bleach solution"
44,18,"Walk-In Fridge",2025-08-02,00:37:44,"Used bleach solution"
45,5,"Dish Pit",2025-05-26,01:05:49,"Wiped down with sanitizer"
46,29,Pantry,2025-03-16,21:55:37,"Wiped down with sanitizer"
47,7,"Dry Storage",2025-05-16,06:32:49,"Wiped down with sanitizer"
48,15,"Walk-In Fridge",2026-04-29,22:17:08,"Spot cleaned only"
49,23,"Saute Station",2026-03-16,14:28:47,"Wiped down with sanitizer"
50,24,"Dish Pit",2026-06-16,08:21:23,"Degreased thoroughly"
51,7,"Walk-In Fridge",2026-01-21,05:52:40,"Degreased thoroughly"
52,15,"Prep Counter",2025-10-28,00:31:28,"Used bleach solution"
53,1,"Saute Station",2026-04-08,13:00:40,"Degreased thoroughly"
54,14,"Dry Storage",2025-03-19,02:10:57,"Degreased thoroughly"
55,30,"Grill Station",2025-01-04,17:23:16,"Spot cleaned only"
56,28,"Walk-In Fridge",2025-08-12,08:35:24,"Spot cleaned only"
57,23,"Walk-In Fridge",2026-05-17,14:03:03,"Degreased thoroughly"
58,22,"Saute Station",2025-10-18,17:02:45,"Degreased thoroughly"
59,28,"Walk-In Fridge",2025-03-20,19:40:56,"No visible debris"
60,23,"Dry Storage",2025-02-09,14:55:42,"Logged in sanitation binder"
61,13,"Dry Storage",2025-11-10,02:24:49,"Logged in sanitation binder"
62,23,"Dish Pit",2026-05-10,10:33:56,"Used bleach solution"
63,29,"Dry Storage",2025-10-29,11:05:50,"Wiped down with sanitizer"
64,25,"Saute Station",2026-04-24,15:36:21,"Spot cleaned only"
65,29,"Grill Station",2026-06-11,07:51:51,"Spot cleaned only"
66,29,"Dry Storage",2025-04-04,16:12:30,"Spot cleaned only"
67,29,"Dish Pit",2025-02-03,02:50:20,"Spot cleaned only"
68,9,"Dish Pit",2025-02-01,07:10:35,"Logged in sanitation binder"
69,12,"Saute Station",2025-05-02,20:24:02,"No visible debris"
70,29,"Dish Pit",2026-03-16,17:10:59,"Used bleach solution"
71,8,"Dish Pit",2025-09-02,12:18:19,"Logged in sanitation binder"
72,3,"Saute Station",2026-05-25,11:51:33,"Spot cleaned only"
73,15,"Dish Pit",2025-04-10,23:33:46,"Logged in sanitation binder"
74,23,Pantry,2025-02-25,08:47:07,"Wiped down with sanitizer"
75,14,"Prep Counter",2025-09-27,11:47:11,"Used bleach solution"
76,7,"Saute Station",2025-01-12,22:36:42,"No visible debris"
77,26,"Walk-In Fridge",2025-04-21,19:24:54,"No visible debris"
78,22,"Prep Counter",2024-12-01,08:50:58,"Wiped down with sanitizer"
79,3,"Dry Storage",2026-04-17,04:59:07,"Degreased thoroughly"
80,18,"Dish Pit",2026-04-25,00:01:58,"Logged in sanitation binder"
81,27,"Dry Storage",2025-03-21,23:05:41,"Wiped down with sanitizer"
82,29,Pantry,2026-02-23,17:02:01,"Wiped down with sanitizer"
83,29,"Walk-In Fridge",2025-01-21,05:19:09,"Wiped down with sanitizer"
84,12,"Grill Station",2026-03-30,20:33:40,"Logged in sanitation binder"
85,18,"Saute Station",2026-01-22,13:09:29,"Degreased thoroughly"
86,14,"Saute Station",2025-08-13,10:45:41,"No visible debris"
87,20,"Dry Storage",2025-05-15,03:14:58,"Spot cleaned only"
88,2,"Saute Station",2025-10-13,21:44:05,"Wiped down with sanitizer"
89,30,"Walk-In Fridge",2025-04-09,04:20:53,"No visible debris"
90,21,"Saute Station",2025-06-20,14:10:24,"Spot cleaned only"
